hcp_id,hcp_name,specialty,segment,territory,region,total_prescriptions,total_units_dispensed,average_monthly_prescriptions,active_months,product_breadth,total_calls,total_samples_received,average_call_duration,called_product_breadth,last_call_date,prescriptions_per_call,days_since_last_call,no_call_flag,recent_3m_units,previous_3m_units,recent_growth_pct,cluster_id,hcp_segment,segment_strategy,prescription_momentum,efficiency_for_scoring,value_score,momentum_score,low_call_score,recency_gap_score,undercoverage_score,efficiency_score,breadth_score,opportunity_score,segment_priority_rank,segment_score_percentile,priority_tier,recommended_action
H0074,Dr. HCP_0074,Oncologist,C,Central-1,Central,76,3184,7.6,10,5,45,215,18.91,5,2026-03-31,1.69,0,0,875,1158,-24.44,0,Established High-Value,Maintain engagement and protect existing value,-0.27994675240335987,1.69,0.65,0.232,0.124,0.029,0.0765,0.195,0.638,35.36,151,0.05828220858895705,Low Priority,Avoid over-servicing and monitor for meaningful changes
H0075,Dr. HCP_0075,Cardiologist,C,North-1,North,54,2069,5.4,10,5,42,153,19.48,5,2026-03-24,1.29,7,0,502,714,-29.69,0,Established High-Value,Maintain engagement and protect existing value,-0.3516923725942682,1.29,0.448,0.176,0.15300000000000002,0.399,0.276,0.098,0.638,31.71,155,0.03067484662576687,Low Priority,Avoid over-servicing and monitor for meaningful changes
H0076,Dr. HCP_0076,Neurologist,C,South-1,South,68,2682,6.8,10,5,32,132,19.03,5,2026-03-15,2.13,16,0,875,871,0.46,1,Emerging Growth,Nurture growth through targeted follow-ups,0.004576667027412107,2.13,0.578,0.512,0.269,0.61,0.4395,0.274,0.638,49.06,75,0.6175,Medium Priority,Nurture through planned follow-ups and monitor momentum
H0077,Dr. HCP_0077,Cardiologist,C,North-1,North,62,2417,6.2,10,5,47,184,21.28,5,2026-03-31,1.32,0,0,673,656,2.59,0,Established High-Value,Maintain engagement and protect existing value,0.025546092427696898,1.32,0.51,0.538,0.10999999999999999,0.029,0.06949999999999999,0.103,0.638,35.72,150,0.06748466257668712,Low Priority,Avoid over-servicing and monitor for meaningful changes
H0078,Dr. HCP_0078,General Physician,A,East-2,East,70,3236,7.0,10,5,6,19,21.33,3,2025-12-20,11.67,101,0,987,1022,-3.42,2,Efficient High-Value,Prioritize selective engagement and expansion,-0.03481206820375782,11.67,0.658,0.434,0.833,0.876,0.8545,0.984,0.638,70.92,12,0.8641975308641975,High Priority,Prioritize selective outreach and evaluate expansion opportunities
H0079,Dr. HCP_0079,Neurologist,B,West-1,West,71,3023,7.1,10,5,18,66,20.89,5,2026-02-24,3.94,35,0,766,720,6.39,1,Emerging Growth,Nurture growth through targeted follow-ups,0.061847664082306686,3.94,0.624,0.564,0.492,0.785,0.6385000000000001,0.656,0.638,62.18,16,0.9225,High Priority,Prioritize targeted follow-ups to support continued growth
H0080,Dr. HCP_0080,Neurologist,A,West-1,West,23,760,2.3,8,3,3,8,20.67,3,2026-03-08,7.67,23,0,307,60,411.67,2,Efficient High-Value,Prioritize selective engagement and expansion,1.6192259188002627,7.67,0.15,0.986,0.87,0.698,0.784,0.902,0.13,58.65,57,0.2839506172839506,Low Priority,Maintain efficient coverage and monitor prescription behaviour
H0081,Dr. HCP_0081,Cardiologist,C,East-1,East,4,163,0.4,4,1,0,0,0.0,0,,,304,1,77,86,-10.47,3,Uncovered HCPs,Evaluate active prescribers before initiating outreach,-0.109199291964992,3.45,0.066,0.362,0.943,0.945,0.944,0.501,0.054,40.88,17,0.44642857142857145,Low Priority,Deprioritize until meaningful prescription activity appears
H0082,Dr. HCP_0082,Neurologist,B,North-1,North,178,7117,17.8,10,5,35,120,21.29,5,2026-03-15,5.09,16,0,2193,2203,-0.45,0,Established High-Value,Maintain engagement and protect existing value,-0.004547529437629372,5.09,0.942,0.462,0.23399999999999999,0.61,0.422,0.784,0.638,66.19,14,0.9202453987730062,High Priority,Protect existing value and maintain consistent engagement
H0083,Dr. HCP_0083,Oncologist,B,East-2,East,21,830,2.1,9,5,11,57,22.18,4,2026-03-29,1.91,2,0,238,238,0.0,1,Emerging Growth,Nurture growth through targeted follow-ups,0.0,1.91,0.17,0.486,0.716,0.158,0.437,0.243,0.638,35.77,159,0.185,Low Priority,Monitor growth before increasing field engagement
H0084,Dr. HCP_0084,Neurologist,A,East-2,East,36,1436,3.6,10,5,6,21,22.17,5,2026-03-29,6.0,2,0,421,448,-6.03,1,Emerging Growth,Nurture growth through targeted follow-ups,-0.0620175737062425,6.0,0.31,0.416,0.833,0.158,0.4955,0.846,0.638,49.08,73,0.63,Medium Priority,Nurture through planned follow-ups and monitor momentum
H0085,Dr. HCP_0085,General Physician,B,North-2,North,154,6594,15.4,10,5,32,136,19.97,5,2026-03-31,4.81,0,0,1936,2433,-20.43,0,Established High-Value,Maintain engagement and protect existing value,-0.2283956101404767,4.81,0.926,0.262,0.269,0.029,0.14900000000000002,0.762,0.638,54.56,65,0.6012269938650306,Medium Priority,Continue the current engagement cadence
H0086,Dr. HCP_0086,Pulmonologist,B,Central-1,Central,145,5604,14.5,10,5,37,148,21.41,5,2026-03-31,3.92,0,0,1509,1844,-18.17,0,Established High-Value,Maintain engagement and protect existing value,-0.20036962666565739,3.92,0.877,0.286,0.21599999999999997,0.029,0.12249999999999998,0.647,0.638,51.18,86,0.46319018404907975,Low Priority,Avoid over-servicing and monitor for meaningful changes
H0087,Dr. HCP_0087,Oncologist,C,East-2,East,20,805,2.0,9,4,12,41,24.33,5,2026-03-21,1.67,10,0,129,228,-43.42,1,Emerging Growth,Nurture growth through targeted follow-ups,-0.5661875530986578,1.67,0.162,0.084,0.69,0.475,0.5825,0.187,0.213,26.04,189,0.035,Low Priority,Monitor growth before increasing field engagement
H0088,Dr. HCP_0088,Endocrinologist,B,Central-1,Central,49,2071,4.9,10,5,25,108,19.96,5,2026-03-25,1.96,6,0,490,761,-35.61,1,Emerging Growth,Nurture growth through targeted follow-ups,-0.43950242789212624,1.96,0.45,0.136,0.364,0.356,0.36,0.252,0.638,35.38,161,0.175,Low Priority,Monitor growth before increasing field engagement
H0089,Dr. HCP_0089,General Physician,C,West-1,West,37,1527,3.7,10,5,17,69,21.53,5,2026-03-22,2.18,9,0,625,295,111.86,1,Emerging Growth,Nurture growth through targeted follow-ups,0.7489909167760382,2.18,0.33,0.952,0.522,0.454,0.488,0.282,0.638,51.75,58,0.71,Medium Priority,Nurture through planned follow-ups and monitor momentum
H0090,Dr. HCP_0090,Neurologist,B,South-1,South,68,2663,6.8,10,5,19,66,19.21,5,2026-03-24,3.58,7,0,790,725,8.97,1,Emerging Growth,Nurture growth through targeted follow-ups,0.08574795294285842,3.58,0.572,0.596,0.46499999999999997,0.399,0.432,0.578,0.638,54.93,38,0.81,High Priority,Prioritize targeted follow-ups to support continued growth
H0091,Dr. HCP_0091,Neurologist,A,West-1,West,38,1603,3.8,10,5,7,29,15.29,5,2026-03-19,5.43,12,0,628,283,121.91,1,Emerging Growth,Nurture growth through targeted follow-ups,0.7951570185392347,5.43,0.346,0.96,0.815,0.532,0.6735,0.816,0.638,65.04,8,0.965,High Priority,Prioritize targeted follow-ups to support continued growth
H0092,Dr. HCP_0092,Pulmonologist,C,East-1,East,0,0,0.0,0,0,0,0,0.0,0,,,304,1,0,0,,3,Uncovered HCPs,Evaluate active prescribers before initiating outreach,0.0,3.45,0.017,0.486,0.943,0.945,0.944,0.501,0.017,41.51,16,0.5982142857142857,Medium Priority,Review prescription activity before allocating field effort
H0093,Dr. HCP_0093,Neurologist,C,West-1,West,21,890,2.1,8,5,14,44,17.64,4,2026-03-30,1.5,1,0,281,189,48.68,1,Emerging Growth,Nurture growth through targeted follow-ups,0.39488299877762767,1.5,0.186,0.834,0.615,0.092,0.3535,0.144,0.638,39.64,142,0.27,Low Priority,Monitor growth before increasing field engagement
H0094,Dr. HCP_0094,Oncologist,B,West-2,West,29,1149,2.9,10,4,9,44,21.44,3,2026-03-19,3.22,12,0,272,342,-20.47,1,Emerging Growth,Nurture growth through targeted follow-ups,-0.22825865198097972,3.22,0.248,0.264,0.762,0.532,0.647,0.4,0.213,37.02,155,0.205,Low Priority,Monitor growth before increasing field engagement
H0095,Dr. HCP_0095,Neurologist,C,South-2,South,95,3805,9.5,10,5,64,241,19.59,5,2026-03-23,1.48,8,0,1093,1091,0.18,0,Established High-Value,Maintain engagement and protect existing value,0.0018298266770759852,1.48,0.726,0.506,0.03200000000000003,0.431,0.2315,0.141,0.638,46.18,111,0.3067484662576687,Low Priority,Avoid over-servicing and monitor for meaningful changes
H0096,Dr. HCP_0096,General Physician,B,South-1,South,176,7002,17.6,10,5,30,134,20.93,5,2026-03-10,5.87,21,0,2128,1953,8.96,0,Established High-Value,Maintain engagement and protect existing value,0.08577383229075153,5.87,0.936,0.598,0.29700000000000004,0.672,0.48450000000000004,0.84,0.638,71.13,2,0.9938650306748467,High Priority,Protect existing value and maintain consistent engagement
H0097,Dr. HCP_0097,Neurologist,B,East-1,East,9,374,0.9,6,2,0,0,0.0,0,,,304,1,225,25,800.0,3,Uncovered HCPs,Evaluate active prescribers before initiating outreach,2.162438461250804,3.45,0.1,0.99,0.943,0.945,0.944,0.501,0.092,54.84,2,0.9821428571428571,High Priority,Validate prescribing potential and consider initiating outreach
H0098,Dr. HCP_0098,Endocrinologist,B,North-2,North,130,4845,13.0,10,5,38,131,20.74,5,2026-03-29,3.42,2,0,1239,1390,-10.86,0,Established High-Value,Maintain engagement and protect existing value,-0.11491153332436,3.42,0.804,0.356,0.20299999999999996,0.158,0.1805,0.438,0.638,48.7,102,0.3619631901840491,Low Priority,Avoid over-servicing and monitor for meaningful changes
H0099,Dr. HCP_0099,Endocrinologist,A,South-2,South,170,7095,17.0,10,5,19,64,21.63,5,2026-03-30,8.95,1,0,2315,2325,-0.43,2,Efficient High-Value,Prioritize selective engagement and expansion,-0.004308494385724337,8.95,0.94,0.464,0.46499999999999997,0.092,0.27849999999999997,0.944,0.638,64.98,37,0.5555555555555556,Medium Priority,Review for incremental engagement without excessive call frequency
H0100,Dr. HCP_0100,Cardiologist,A,North-1,North,116,4378,11.6,10,5,13,40,18.46,5,2026-03-20,8.92,11,0,1436,1424,0.84,2,Efficient High-Value,Prioritize selective engagement and expansion,0.008385793376273654,8.92,0.774,0.516,0.655,0.5,0.5775,0.942,0.638,68.49,25,0.7037037037037037,Medium Priority,Review for incremental engagement without excessive call frequency
H0101,Dr. HCP_0101,Neurologist,A,West-2,West,39,1651,3.9,10,5,6,25,28.33,4,2026-03-02,6.5,29,0,363,474,-23.42,2,Efficient High-Value,Prioritize selective engagement and expansion,-0.2661609363979007,6.5,0.362,0.24,0.833,0.757,0.7949999999999999,0.856,0.638,54.75,67,0.16049382716049382,Low Priority,Maintain efficient coverage and monitor prescription behaviour
H0102,Dr. HCP_0102,Oncologist,B,West-2,West,70,2607,7.0,10,5,15,55,21.0,5,2026-03-09,4.67,22,0,1097,670,63.73,1,Emerging Growth,Nurture growth through targeted follow-ups,0.49247648509779385,4.67,0.56,0.879,0.577,0.682,0.6295,0.744,0.638,67.66,3,0.99,High Priority,Prioritize targeted follow-ups to support continued growth
H0103,Dr. HCP_0103,Oncologist,B,West-1,West,60,2360,6.0,9,5,13,59,12.85,5,2026-03-25,4.62,6,0,555,588,-5.61,1,Emerging Growth,Nurture growth through targeted follow-ups,-0.05765788940100425,4.62,0.504,0.418,0.655,0.356,0.5055000000000001,0.736,0.638,53.54,46,0.77,Medium Priority,Nurture through planned follow-ups and monitor momentum
H0104,Dr. HCP_0104,Endocrinologist,B,South-2,South,96,3755,9.6,10,5,33,112,20.24,5,2026-03-01,2.91,30,0,1108,1331,-16.75,0,Established High-Value,Maintain engagement and protect existing value,-0.18322286374996732,2.91,0.72,0.3,0.255,0.761,0.508,0.352,0.638,51.96,79,0.5153374233128835,Medium Priority,Continue the current engagement cadence
H0105,Dr. HCP_0105,Oncologist,C,North-2,North,76,3008,7.6,10,5,52,213,20.62,5,2026-03-31,1.46,0,0,1055,843,25.15,0,Established High-Value,Maintain engagement and protect existing value,0.22409096967024933,1.46,0.622,0.696,0.08399999999999996,0.029,0.05649999999999998,0.133,0.638,42.37,133,0.17177914110429449,Low Priority,Avoid over-servicing and monitor for meaningful changes
H0106,Dr. HCP_0106,General Physician,B,South-1,South,60,2131,6.0,10,5,25,97,20.96,5,2026-03-13,2.4,18,0,685,593,15.51,1,Emerging Growth,Nurture growth through targeted follow-ups,0.14399830836323968,2.4,0.47,0.642,0.364,0.637,0.5005,0.296,0.638,50.27,71,0.64,Medium Priority,Nurture through planned follow-ups and monitor momentum
H0107,Dr. HCP_0107,Neurologist,B,North-1,North,149,5940,14.9,10,5,39,142,19.15,5,2026-03-24,3.82,7,0,1770,1472,20.24,0,Established High-Value,Maintain engagement and protect existing value,0.18424322132020343,3.82,0.9,0.67,0.18999999999999995,0.399,0.2945,0.626,0.638,63.53,22,0.8711656441717791,High Priority,Protect existing value and maintain consistent engagement
H0108,Dr. HCP_0108,Oncologist,C,North-2,North,78,3154,7.8,10,5,44,178,20.64,5,2026-03-19,1.77,12,0,1073,890,20.56,0,Established High-Value,Maintain engagement and protect existing value,0.18680084759800142,1.77,0.646,0.674,0.133,0.532,0.3325,0.223,0.638,50.9,88,0.44785276073619634,Low Priority,Avoid over-servicing and monitor for meaningful changes
H0109,Dr. HCP_0109,General Physician,B,West-2,West,53,1979,5.3,9,5,13,58,19.92,5,2026-03-27,4.08,4,0,638,500,27.6,1,Emerging Growth,Nurture growth through targeted follow-ups,0.24329835329267002,4.08,0.424,0.72,0.655,0.262,0.4585,0.68,0.638,55.16,37,0.815,High Priority,Prioritize targeted follow-ups to support continued growth
H0110,Dr. HCP_0110,Neurologist,A,West-2,West,46,1650,4.6,10,5,9,34,19.78,5,2026-03-11,5.11,20,0,609,326,86.81,1,Emerging Growth,Nurture growth through targeted follow-ups,0.6234987862701038,5.11,0.36,0.918,0.762,0.661,0.7115,0.788,0.638,65.15,7,0.97,High Priority,Prioritize targeted follow-ups to support continued growth
H0111,Dr. HCP_0111,Oncologist,B,Central-1,Central,77,3295,7.7,10,5,31,113,20.19,5,2026-02-25,2.48,34,0,1163,652,78.37,0,Established High-Value,Maintain engagement and protect existing value,0.5780404990149517,2.48,0.664,0.9,0.28300000000000003,0.78,0.5315000000000001,0.306,0.638,62.18,29,0.8282208588957055,High Priority,Protect existing value and maintain consistent engagement
H0112,Dr. HCP_0112,Oncologist,A,West-2,West,82,3449,8.2,10,5,10,35,22.8,5,2025-12-18,8.2,103,0,951,1044,-8.91,2,Efficient High-Value,Prioritize selective engagement and expansion,-0.09320712960754651,8.2,0.69,0.386,0.74,0.878,0.8089999999999999,0.922,0.638,68.86,22,0.7407407407407407,Medium Priority,Review for incremental engagement without excessive call frequency
H0113,Dr. HCP_0113,General Physician,C,South-2,South,93,3594,9.3,10,5,81,321,21.09,5,2026-03-29,1.15,2,0,859,1371,-37.35,0,Established High-Value,Maintain engagement and protect existing value,-0.46709241903827703,1.15,0.704,0.12,0.0040000000000000036,0.158,0.081,0.06,0.638,32.82,154,0.03680981595092025,Low Priority,Avoid over-servicing and monitor for meaningful changes
H0114,Dr. HCP_0114,Oncologist,C,Central-1,Central,106,4037,10.6,10,5,51,200,19.04,5,2026-03-27,2.08,4,0,1373,1114,23.25,0,Established High-Value,Maintain engagement and protect existing value,0.20887178888807512,2.08,0.742,0.694,0.08899999999999997,0.262,0.1755,0.269,0.638,50.94,87,0.4539877300613497,Low Priority,Avoid over-servicing and monitor for meaningful changes
H0115,Dr. HCP_0115,Oncologist,B,East-1,East,3,77,0.3,3,1,0,0,0.0,0,,,304,1,0,54,-100.0,3,Uncovered HCPs,Evaluate active prescribers before initiating outreach,-4.007333185232471,3.45,0.052,0.008,0.943,0.945,0.944,0.501,0.054,33.38,37,0.08928571428571429,Low Priority,Deprioritize until meaningful prescription activity appears
H0116,Dr. HCP_0116,Endocrinologist,C,East-1,East,4,140,0.4,4,1,0,0,0.0,0,,,304,1,25,43,-41.86,3,Uncovered HCPs,Evaluate active prescribers before initiating outreach,-0.5260930958967789,3.45,0.062,0.1,0.943,0.945,0.944,0.501,0.054,35.52,26,0.2857142857142857,Low Priority,Deprioritize until meaningful prescription activity appears
H0117,Dr. HCP_0117,Pulmonologist,C,East-2,East,25,1071,2.5,10,4,17,65,20.24,5,2026-03-25,1.47,6,0,475,301,57.81,1,Emerging Growth,Nurture growth through targeted follow-ups,0.45499083685655073,1.47,0.228,0.86,0.522,0.356,0.439,0.137,0.213,39.2,148,0.24,Low Priority,Monitor growth before increasing field engagement
H0118,Dr. HCP_0118,Endocrinologist,A,South-1,South,70,2448,7.0,10,5,12,37,20.42,4,2026-02-19,5.83,40,0,627,923,-32.07,1,Emerging Growth,Nurture growth through targeted follow-ups,-0.38617190517348554,5.83,0.526,0.156,0.69,0.8,0.745,0.838,0.638,56.47,30,0.85,High Priority,Prioritize targeted follow-ups to support continued growth
H0119,Dr. HCP_0119,General Physician,C,West-1,West,35,1351,3.5,10,5,22,96,18.86,5,2026-03-10,1.59,21,0,365,588,-37.93,1,Emerging Growth,Nurture growth through targeted follow-ups,-0.47579285025022067,1.59,0.287,0.114,0.41400000000000003,0.672,0.543,0.162,0.638,33.28,167,0.145,Low Priority,Monitor growth before increasing field engagement
H0120,Dr. HCP_0120,Cardiologist,B,South-2,South,239,9324,23.9,10,5,50,211,22.88,5,2026-03-13,4.78,18,0,3018,2850,5.89,0,Established High-Value,Maintain engagement and protect existing value,0.057255840794167234,4.78,0.986,0.56,0.09399999999999997,0.637,0.3655,0.753,0.638,67.59,8,0.9570552147239264,High Priority,Protect existing value and maintain consistent engagement
H0121,Dr. HCP_0121,Pulmonologist,C,West-1,West,41,1680,4.1,10,5,27,111,21.59,5,2026-03-16,1.52,15,0,284,909,-68.76,1,Emerging Growth,Nurture growth through targeted follow-ups,-1.1609554192422449,1.52,0.368,0.032,0.33599999999999997,0.597,0.46649999999999997,0.146,0.638,31.91,170,0.13,Low Priority,Monitor growth before increasing field engagement
H0122,Dr. HCP_0122,Cardiologist,C,West-1,West,24,854,2.4,9,5,15,75,18.33,5,2026-03-27,1.6,4,0,292,266,9.77,1,Emerging Growth,Nurture growth through targeted follow-ups,0.09292395061681802,1.6,0.178,0.604,0.577,0.262,0.4195,0.166,0.638,36.78,157,0.195,Low Priority,Monitor growth before increasing field engagement
H0123,Dr. HCP_0123,Oncologist,B,West-1,West,48,1852,4.8,10,5,12,43,14.0,5,2026-03-27,4.0,4,0,638,469,36.03,1,Emerging Growth,Nurture growth through targeted follow-ups,0.30717175967343024,4.0,0.394,0.782,0.69,0.262,0.476,0.665,0.638,55.72,33,0.835,High Priority,Prioritize targeted follow-ups to support continued growth
H0124,Dr. HCP_0124,Oncologist,A,Central-2,Central,20,814,2.0,9,3,2,10,22.0,2,2026-03-04,10.0,27,0,228,321,-28.97,2,Efficient High-Value,Prioritize selective engagement and expansion,-0.34082954199016857,10.0,0.166,0.186,0.881,0.746,0.8135,0.968,0.13,44.86,79,0.012345679012345678,Low Priority,Maintain efficient coverage and monitor prescription behaviour
H0125,Dr. HCP_0125,Pulmonologist,B,North-1,North,90,3364,9.0,10,5,30,115,19.1,5,2026-03-19,3.0,12,0,1138,1270,-10.39,0,Established High-Value,Maintain engagement and protect existing value,-0.10965330774227233,3.0,0.678,0.36,0.29700000000000004,0.532,0.41450000000000004,0.362,0.638,49.71,93,0.4171779141104294,Low Priority,Avoid over-servicing and monitor for meaningful changes
H0126,Dr. HCP_0126,Oncologist,B,West-1,West,48,2052,4.8,10,5,17,69,20.29,5,2026-02-27,2.82,32,0,474,818,-42.05,1,Emerging Growth,Nurture growth through targeted follow-ups,-0.5447692798184285,2.82,0.442,0.092,0.522,0.769,0.6455,0.341,0.638,42.73,124,0.36,Low Priority,Monitor growth before increasing field engagement
H0127,Dr. HCP_0127,Endocrinologist,C,West-2,West,48,1824,4.8,10,5,19,97,19.47,5,2026-03-16,2.53,15,0,429,737,-41.79,1,Emerging Growth,Nurture growth through targeted follow-ups,-0.5401586159128646,2.53,0.388,0.094,0.46499999999999997,0.597,0.5309999999999999,0.312,0.638,37.85,151,0.225,Low Priority,Monitor growth before increasing field engagement
H0128,Dr. HCP_0128,Oncologist,C,West-1,West,42,1541,4.2,10,5,24,90,19.33,5,2026-03-22,1.75,9,0,418,328,27.44,1,Emerging Growth,Nurture growth through targeted follow-ups,0.24181316915676554,1.75,0.336,0.718,0.38,0.454,0.41700000000000004,0.214,0.638,44.46,111,0.425,Low Priority,Monitor growth before increasing field engagement
H0129,Dr. HCP_0129,Pulmonologist,A,West-1,West,55,2341,5.5,10,5,7,34,21.14,3,2026-03-07,7.86,24,0,551,696,-20.83,2,Efficient High-Value,Prioritize selective engagement and expansion,-0.23323736448342913,7.86,0.498,0.258,0.815,0.716,0.7655,0.91,0.638,59.27,55,0.30864197530864196,Low Priority,Maintain efficient coverage and monitor prescription behaviour
H0130,Dr. HCP_0130,Oncologist,B,South-1,South,135,5467,13.5,10,5,33,128,23.03,5,2026-03-26,4.09,5,0,1427,1972,-27.64,0,Established High-Value,Maintain engagement and protect existing value,-0.32328036312308583,4.09,0.864,0.2,0.255,0.311,0.28300000000000003,0.682,0.638,53.6,68,0.5828220858895705,Medium Priority,Continue the current engagement cadence
H0131,Dr. HCP_0131,Neurologist,B,Central-2,Central,32,1364,3.2,9,5,10,47,16.9,5,2026-03-05,3.2,26,0,418,299,39.8,1,Emerging Growth,Nurture growth through targeted follow-ups,0.3340884452659365,3.2,0.29,0.796,0.74,0.735,0.7375,0.396,0.638,55.38,36,0.82,High Priority,Prioritize targeted follow-ups to support continued growth
H0132,Dr. HCP_0132,Neurologist,B,West-1,West,62,2432,6.2,10,4,11,53,18.73,5,2026-03-17,5.64,14,0,864,617,40.03,1,Emerging Growth,Nurture growth through targeted follow-ups,0.33624104947418854,5.64,0.518,0.8,0.716,0.582,0.649,0.827,0.213,62.3,15,0.93,High Priority,Prioritize targeted follow-ups to support continued growth
H0133,Dr. HCP_0133,General Physician,A,North-2,North,251,9731,25.1,10,5,28,110,19.36,5,2026-03-24,8.96,7,0,2826,3450,-18.09,2,Efficient High-Value,Prioritize selective engagement and expansion,-0.19944796540441256,8.96,0.988,0.29,0.32599999999999996,0.399,0.3625,0.946,0.638,65.07,36,0.5679012345679012,Medium Priority,Review for incremental engagement without excessive call frequency
H0134,Dr. HCP_0134,Oncologist,B,South-1,South,49,1906,4.9,9,5,24,102,19.83,5,2026-03-28,2.04,3,0,608,688,-11.63,1,Emerging Growth,Nurture growth through targeted follow-ups,-0.12342300330376155,2.04,0.416,0.342,0.38,0.212,0.296,0.266,0.638,37.09,154,0.21,Low Priority,Monitor growth before increasing field engagement
H0135,Dr. HCP_0135,Pulmonologist,C,North-1,North,120,4850,12.0,10,5,52,220,19.15,5,2026-03-19,2.31,12,0,1419,1404,1.07,0,Established High-Value,Maintain engagement and protect existing value,0.010619568827460846,2.31,0.806,0.518,0.08399999999999996,0.532,0.308,0.292,0.638,53.0,72,0.558282208588957,Medium Priority,Continue the current engagement cadence
H0136,Dr. HCP_0136,Endocrinologist,B,East-2,East,20,836,2.0,8,5,8,19,26.13,4,2026-01-25,2.5,65,0,186,188,-1.06,1,Emerging Growth,Nurture growth through targeted follow-ups,-0.010638398205055744,2.5,0.172,0.452,0.787,0.849,0.8180000000000001,0.31,0.638,45.68,99,0.485,Low Priority,Monitor growth before increasing field engagement
H0137,Dr. HCP_0137,Pulmonologist,B,East-2,East,40,1446,4.0,10,5,13,51,18.38,4,2026-03-08,3.08,23,0,518,523,-0.96,1,Emerging Growth,Nurture growth through targeted follow-ups,-0.009587801155153564,3.08,0.312,0.456,0.655,0.698,0.6765,0.368,0.638,47.29,90,0.54,Medium Priority,Nurture through planned follow-ups and monitor momentum
H0138,Dr. HCP_0138,Oncologist,C,East-1,East,7,266,0.7,5,2,0,0,0.0,0,,,304,1,33,167,-80.24,3,Uncovered HCPs,Evaluate active prescribers before initiating outreach,-1.5976034547870972,3.45,0.088,0.026,0.943,0.945,0.944,0.501,0.092,35.19,29,0.23214285714285715,Low Priority,Deprioritize until meaningful prescription activity appears
H0139,Dr. HCP_0139,Oncologist,B,North-2,North,98,4246,9.8,10,5,34,147,19.38,5,2026-03-16,2.88,15,0,1045,1612,-35.17,0,Established High-Value,Maintain engagement and protect existing value,-0.4331224335003405,2.88,0.76,0.138,0.243,0.597,0.42,0.348,0.638,47.66,104,0.3496932515337423,Low Priority,Avoid over-servicing and monitor for meaningful changes
H0140,Dr. HCP_0140,Cardiologist,C,Central-1,Central,81,3091,8.1,10,5,63,275,18.14,5,2026-03-30,1.29,1,0,1010,756,33.6,0,Established High-Value,Maintain engagement and protect existing value,0.2893319655830231,1.29,0.634,0.764,0.03600000000000003,0.092,0.06400000000000002,0.098,0.638,43.75,127,0.2085889570552147,Low Priority,Avoid over-servicing and monitor for meaningful changes
H0141,Dr. HCP_0141,General Physician,C,South-2,South,77,2840,7.7,10,5,61,269,18.48,5,2026-03-29,1.26,2,0,880,786,11.96,0,Established High-Value,Maintain engagement and protect existing value,0.11282937751877675,1.26,0.598,0.624,0.04200000000000004,0.158,0.10000000000000002,0.089,0.638,40.64,136,0.15337423312883436,Low Priority,Avoid over-servicing and monitor for meaningful changes
H0142,Dr. HCP_0142,Cardiologist,B,North-1,North,109,4337,10.9,10,5,32,134,19.72,5,2026-03-24,3.41,7,0,1243,1256,-1.04,0,Established High-Value,Maintain engagement and protect existing value,-0.010395935291122704,3.41,0.768,0.454,0.269,0.399,0.334,0.434,0.638,53.36,69,0.5766871165644172,Medium Priority,Continue the current engagement cadence
H0143,Dr. HCP_0143,Cardiologist,B,South-2,South,242,9862,24.2,10,5,58,245,18.43,5,2026-03-27,4.17,4,0,3372,2833,19.03,0,Established High-Value,Maintain engagement and protect existing value,0.17411341481102394,4.17,0.994,0.664,0.051000000000000045,0.262,0.15650000000000003,0.698,0.638,63.86,18,0.8957055214723927,High Priority,Protect existing value and maintain consistent engagement
H0144,Dr. HCP_0144,Endocrinologist,B,South-2,South,246,9238,24.6,10,5,72,302,20.76,5,2026-03-27,3.42,4,0,3033,2796,8.48,0,Established High-Value,Maintain engagement and protect existing value,0.08133446670651878,3.42,0.984,0.582,0.017000000000000015,0.262,0.1395,0.438,0.638,57.6,48,0.7116564417177914,Medium Priority,Continue the current engagement cadence
H0145,Dr. HCP_0145,Neurologist,B,North-2,North,175,6960,17.5,10,5,33,117,18.15,5,2026-03-23,5.3,8,0,2115,2200,-3.86,0,Established High-Value,Maintain engagement and protect existing value,-0.039384288548271584,5.3,0.934,0.43,0.255,0.431,0.34299999999999997,0.808,0.638,63.7,20,0.8834355828220859,High Priority,Protect existing value and maintain consistent engagement
H0146,Dr. HCP_0146,General Physician,A,West-2,West,53,2334,5.3,10,4,8,30,21.88,3,2026-03-07,6.63,24,0,819,743,10.23,2,Efficient High-Value,Prioritize selective engagement and expansion,0.09726330542520678,6.63,0.496,0.61,0.787,0.716,0.7515000000000001,0.863,0.213,60.94,51,0.3765432098765432,Low Priority,Maintain efficient coverage and monitor prescription behaviour
H0147,Dr. HCP_0147,Endocrinologist,B,East-2,East,50,1875,5.0,10,4,11,46,23.18,4,2026-03-15,4.55,16,0,567,399,42.11,1,Emerging Growth,Nurture growth through targeted follow-ups,0.35065687161316994,4.55,0.406,0.81,0.716,0.61,0.663,0.733,0.213,58.08,26,0.87,High Priority,Prioritize targeted follow-ups to support continued growth
